PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40132181,Detection of Clinically Significant Drug-Drug Interactions in Fatal Torsades de Pointes: Disproportionality Analysis of the Food and Drug Administration Adverse Event Reporting System.,2025-Mar-25,Huanhuan Ji; Meiling Gong; Ni Zhang; Ruiou Zhou; Dongmei Deng; Ya Yang; Lin Song; Yuntao Jia,"Department of Pharmacy, National Clinical Research Center for Child Health and Disorders, Ministry of Education Key Laboratory of Child Development and Disorders, China International Science and Technology Cooperation base of Child development and Critical Disorders, Children's Hospital of Chongqing Medical University, Chongqing, China.; Department of Pharmacy, National Clinical Research Center for Child Health and Disorders, Ministry of Education Key Laboratory of Child Development and Disorders, China International Science and Technology Cooperation base of Child development and Critical Disorders, Children's Hospital of Chongqing Medical University, Chongqing, China.; Department of Pharmacy, The Daping Hospital of Army Medical University, Chongqing, China.; Department of Pharmacy, National Clinical Research Center for Child Health and Disorders, Ministry of Education Key Laboratory of Child Development and Disorders, China International Science and Technology Cooperation base of Child development and Critical Disorders, Children's Hospital of Chongqing Medical University, Chongqing, China.; Department of Pharmacy, National Clinical Research Center for Child Health and Disorders, Ministry of Education Key Laboratory of Child Development and Disorders, China International Science and Technology Cooperation base of Child development and Critical Disorders, Children's Hospital of Chongqing Medical University, Chongqing, China.; Department of Pharmacy, National Clinical Research Center for Child Health and Disorders, Ministry of Education Key Laboratory of Child Development and Disorders, China International Science and Technology Cooperation base of Child development and Critical Disorders, Children's Hospital of Chongqing Medical University, Chongqing, China.; Department of Pharmacy, National Clinical Research Center for Child Health and Disorders, Ministry of Education Key Laboratory of Child Development and Disorders, China International Science and Technology Cooperation base of Child development and Critical Disorders, Children's Hospital of Chongqing Medical University, Chongqing, China.; Department of Pharmacy, National Clinical Research Center for Child Health and Disorders, Ministry of Education Key Laboratory of Child Development and Disorders, China International Science and Technology Cooperation base of Child development and Critical Disorders, Children's Hospital of Chongqing Medical University, Chongqing, China.",N/A
40131983,Tislelizumab plus chemotherapy versus chemotherapy as first-line treatment for extensive-stage small cell lung cancer: A cost-effectiveness analysis.,2025-01-01,Zhiwei Zheng; Huide Zhu; Ling Fang,"Department of Pharmacy, Cancer Hospital of Shantou University Medical College, Shantou, China.; Department of Pharmacy, Cancer Hospital of Shantou University Medical College, Shantou, China.; Department of Pharmacy, Cancer Hospital of Shantou University Medical College, Shantou, China.",N/A
40131765,Effects of Immune Checkpoint Inhibitor-induced Thyroid Dysfunction on Cardiac Troponin Levels.,2025-Mar-25,Yuma Shibutani; Atsushi Kawanobe; Shinya Suzuki,"Department of Pharmacy, National Cancer Center Hospital East, Kashiwa, Japan.; Department of Pharmacy, National Cancer Center Hospital East, Kashiwa, Japan.; Department of Pharmacy, National Cancer Center Hospital East, Kashiwa, Japan.",N/A
40131728,Dynamic ctDNA informs whole-course postoperative precise management of NSCLC (LUNGCA study).,2025-Mar-25,Ying Yang; Weizhi Chen; Qingyun Li; Bo Du,"Genecast Biotechnology Co., Ltd, 214104, Wuxi, China.; Genecast Biotechnology Co., Ltd, 214104, Wuxi, China.; Genecast Biotechnology Co., Ltd, 214104, Wuxi, China.; Genecast Biotechnology Co., Ltd, 214104, Wuxi, China.",N/A
40131693,Oral beclomethasone dipropionate therapy and prognostic plasma biomarkers for gastrointestinal graft-versus-host disease.,2025-Mar-25,Toshihisa Nakashima; Hironobu Hashimoto,"Division of Pharmacy, National Cancer Center Hospital, Tokyo, Japan.; Division of Pharmacy, National Cancer Center Hospital, Tokyo, Japan.",N/A
40131662,Treatment patterns and outcomes in HER2-low metastatic breast cancer patients previously treated with chemotherapy: a US real-world cohort study.,2025-Mar-25,Suyuan Zhang; Shannon Hunter; Yan Xiong,"Daiichi Sankyo, Inc, Basking Ridge, NJ, USA.; Daiichi Sankyo, Inc, Basking Ridge, NJ, USA.; Daiichi Sankyo, Inc, Basking Ridge, NJ, USA.",N/A
40131649,"Gastrointestinal perforation in general oncology, metastatic colorectal cancer, and metastatic melanoma population.",2025-Mar-25,Arun Parashar; Vineet Mehta; Muskan Thakur,"School of Pharmaceutical Sciences, Shoolini University of Biotechnology and Management Sciences, Solan, H.P., India. arunnittyparashar@gmail.com.; Department of Pharmacology, Govt. College of Pharmacy, Rohru, H.P., India.; School of Pharmaceutical Sciences, Shoolini University of Biotechnology and Management Sciences, Solan, H.P., India.",N/A
40131644,Applying integrated transcriptome and single-cell sequencing analysis to develop a prognostic signature based on M2-like tumor-associated macrophages for breast cancer.,2025-Mar-25,Yanghaochen Xu; Ye Zhu,"Department of Bioinformatics, Hangzhou Juno Genomics Inc., Hangzhou, China.; Department of Bioinformatics, Hangzhou Juno Genomics Inc., Hangzhou, China.",N/A
40131617,Smart nanomedicines powered by artificial intelligence: a breakthrough in lung cancer diagnosis and treatment.,2025-Mar-25,Maryam Shirzad; Mohammad Javad Javid-Naderi; Sadanand Pandey,"Nanotechnology Research Center, Pharmaceutical Technology Institute, Mashhad University of Medical Sciences, Mashhad, Iran.; Department of Medical Biotechnology and Nanotechnology, Faculty of Medicine, Mashhad University of Medical Science, Mashhad, Iran.; School of Bioengineering and Food Technology, Faculty of Applied Sciences and Biotechnology, Shoolini University, Solan, Himachal Pradesh, 173229, India. sadanand.au@gmail.com.",N/A
40131600,A US Survey Across Seven Early-Stage Cancers Assessing the Humanistic Burden of Recurrence on Patients and Caregivers.,2025-Mar-25,Raquel Aguiar-Ibáñez; Kelly McQuarrie,"Merck Canada Inc., 16750 Trans-Canada Highway, Kirkland, QC, H9H 4M7, Canada. raquel.aguiar-ibanez@merck.com.; Merck & Co., Inc., 126 East Lincoln Avenue, P.O. Box 2000, Rahway, NJ, 07065, USA.",N/A
40131539,"Myeloid cells are involved in tumor immunity, metastasis and metabolism in tumor microenvironment.",2025-Mar-25,Chenbo Zhang; Ying Song; Huanming Yang; Kui Wu,"College of Pharmaceutical Science, Zhejiang University of Technology, Hangzhou, 310000, China.; College of Pharmaceutical Science, Zhejiang University of Technology, Hangzhou, 310000, China.; College of Pharmaceutical Science, Zhejiang University of Technology, Hangzhou, 310000, China. yanghm@genomics.cn.; College of Pharmaceutical Science, Zhejiang University of Technology, Hangzhou, 310000, China. wukui@genomics.cn.",N/A
40131386,Circular RNAs: driving forces behind chemoresistance and immune evasion in bladder cancer.,2025-Mar-25,Mohamed J Saadh; Ali Fawzi Al-Hussainy; Mariem Alwan; Mahmood Jawad,"Faculty of Pharmacy, Middle East University, Amman, 11831, Jordan.; College of Pharmacy, Ahl Al Bayt University, Kerbala, Iraq.; Pharmacy College, Al-Farahidi University, Baghdad, Iraq.; Department of Pharmacy, Al-Zahrawi University College, Karbala, Iraq.",N/A
40131366,Cost-effectiveness of PD-1 inhibitors combined with chemotherapy for first-line treatment of oesophageal squamous cell carcinoma in China: a comprehensive analysis.,2025-Dec-01,Kai Xu; Man Yu; Qingli Sun; Lingli Zhang; Xiaodan Qian; Dan Su; Jinhong Gong; Jingjing Shang; Yingtao Lin; Xin Li,"Department of Pharmacy, The Second People's Hospital of Changzhou, The Third Affiliated Hospital of Nanjing Medical University, Changzhou, Jiangsu Province, China.; Department of Pharmaceutical Regulatory Science and Pharmacoeconomics, School of Pharmacy, Nanjing Medical University, Nanjing, Jiangsu Province, China.; Department of Pharmacy, Qingdao Central Hospital, University of Health and Rehabilitation Sciences, Qingdao, Shandong Province, China.; School of International Pharmaceutical Business, China Pharmaceutical University, Nanjing, Jiangsu Province, China.; Department of Pharmacy, The Second People's Hospital of Changzhou, The Third Affiliated Hospital of Nanjing Medical University, Changzhou, Jiangsu Province, China.; Department of Pharmacy, The Second People's Hospital of Changzhou, The Third Affiliated Hospital of Nanjing Medical University, Changzhou, Jiangsu Province, China.; Department of Pharmacy, The Second People's Hospital of Changzhou, The Third Affiliated Hospital of Nanjing Medical University, Changzhou, Jiangsu Province, China.; Department of Pharmacy, The Second People's Hospital of Changzhou, The Third Affiliated Hospital of Nanjing Medical University, Changzhou, Jiangsu Province, China.; Department of Pharmaceutical Regulatory Science and Pharmacoeconomics, School of Pharmacy, Nanjing Medical University, Nanjing, Jiangsu Province, China.; Department of Pharmacy, The Second People's Hospital of Changzhou, The Third Affiliated Hospital of Nanjing Medical University, Changzhou, Jiangsu Province, China.",N/A
40131242,The molecular circadian clock of eosinophils: A potential therapeutic target for asthma.,2025-Mar-25,Julia Teppan; Thomas Bärnthaler; Aitak Farzi; Akos Heinemann; Eva Maria Böhm,"Otto Loewi Research Center for Vascular Biology, Immunology and Inflammation, Division of Pharmacology, Medical University of Graz, 8010 Graz, Austria.; Otto Loewi Research Center for Vascular Biology, Immunology and Inflammation, Division of Pharmacology, Medical University of Graz, 8010 Graz, Austria.; Otto Loewi Research Center for Vascular Biology, Immunology and Inflammation, Division of Pharmacology, Medical University of Graz, 8010 Graz, Austria.; Otto Loewi Research Center for Vascular Biology, Immunology and Inflammation, Division of Pharmacology, Medical University of Graz, 8010 Graz, Austria.; Otto Loewi Research Center for Vascular Biology, Immunology and Inflammation, Division of Pharmacology, Medical University of Graz, 8010 Graz, Austria.",N/A
40131222,"Prostate cancer in central and Eastern Europe: a Comprehensive Regional Analysis of Burden, trends, and future projections based on the Global Burden of disease Study (1990-2021).",2025-Mar-25,Swati Mishra; Mahendra Singh,"Department of Pharmacology, IMS and SUM Hospital, Siksha 'O' Anusandhan (Deemed to be University), Bhubaneswar, Odisha, India.; Department of Biotechnology, Graphic Era (Deemed to be University), Clement Town, Dehradun-, India.",N/A
40131145,Non-Viral RNA Therapies for Non-Small Cell Lung Cancer and Their Corresponding Clinical Trials.,2025-Mar-25,Palas Balakdas Tiwade; Vincent Fung; Rachel VanKeulen-Miller; Eshan Amruth Narasipura; Yutian Ma; Owen S Fenton,"Division of Pharmacoengineering and Molecular Pharmaceutics, Eshelman School of Pharmacy, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina 27599, United States.; Division of Pharmacoengineering and Molecular Pharmaceutics, Eshelman School of Pharmacy, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina 27599, United States.; Department of Pharmacology, School of Medicine, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina 27599, United States.; Division of Pharmacoengineering and Molecular Pharmaceutics, Eshelman School of Pharmacy, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina 27599, United States.; Division of Pharmacoengineering and Molecular Pharmaceutics, Eshelman School of Pharmacy, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina 27599, United States.; Division of Pharmacoengineering and Molecular Pharmaceutics, Eshelman School of Pharmacy, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina 27599, United States.",N/A
40130769,Antidepressant Use Trajectories and Risk of Discontinuation After Adolescents and Young Adult Cancer Diagnosis.,2025-Apr-01,Oluwadamilola Onasanya; Udim Damachi; Susan dosReis; Wendy Camelo Castillo,"Department of Practice, Sciences, and Health Outcomes Research, University of Maryland School of Pharmacy, Baltimore, Maryland, USA.; Department of Practice, Sciences, and Health Outcomes Research, University of Maryland School of Pharmacy, Baltimore, Maryland, USA.; Department of Practice, Sciences, and Health Outcomes Research, University of Maryland School of Pharmacy, Baltimore, Maryland, USA.; Department of Practice, Sciences, and Health Outcomes Research, University of Maryland School of Pharmacy, Baltimore, Maryland, USA.",N/A
40130756,Ratiometric Detection of Carboxylesterase In Vitro and In Vivo via a BODIPY-Styryl Platform.,2025-Mar-01,Ni-Ni Wang; Xinyi Li; Can Zhang; Jianhao Wang; Yang Bai,"School of Pharmacy, Changzhou University, Changzhou, China.; School of Pharmacy, Changzhou University, Changzhou, China.; School of Pharmacy, Changzhou University, Changzhou, China.; School of Pharmacy, Changzhou University, Changzhou, China.; School of Pharmacy, Changzhou University, Changzhou, China.",N/A
